trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,weibo,000001.SZ,上证指数sh 000001 的 微博 ,上证指数sh 000001 的 微博 _微博 | 上证指数sh 000001 的 微博 _微博,2026-06-03,上证指数sh 000001 的 微博 _微博,http://www.baidu.com/link?url=lQqo3g3SdkXgQey_KIwvpwEtao2DN_2Wr36HyqHxd7HrzXFXRTjK5c4zrwU37kZT,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.270596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,上证指数 sh 000001 --- 微博 股票,上证指数 sh 000001 --- 微博 股票 | 上证指数 sh 000001 --- 微博 股票,2026-06-03,上证指数 sh 000001 --- 微博 股票,http://www.baidu.com/link?url=HVi8W4w1OJKV_cQuJkmJB1MQosNeYQC5itpfwftQotArd_lvj0_e9oyId-hL4eyczyCZmgIIUGiTfe9r6OMR7q,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.270596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,平安银行 sz 000001 --- 微博 股票,平安银行 sz 000001 --- 微博 股票 | 平安银行 sz 000001 --- 微博 股票,2026-06-03,平安银行 sz 000001 --- 微博 股票,http://www.baidu.com/link?url=9WPpAF-R8mWE6WRfdY0xOSEpoiPxZcHuzJLZiNecoAV2Z3qnwUryh5auvKqEcWoe,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.271596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,来自股市的猩猩的 微博 ,来自股市的猩猩的 微博 _微博 | 来自股市的猩猩的 微博 _微博,2026-06-03,来自股市的猩猩的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWckc1AJYPsEeVCH6C8-eLWbf_,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.271596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,黄崇半对数的 微博 ,黄崇半对数的 微博 _微博 | 黄崇半对数的 微博 _微博,2026-06-03,黄崇半对数的 微博 _微博,http://www.baidu.com/link?url=esegQxzHYJSOOkABHmtFsI6jRHqhGWGzqlI06Y9vfLXPuuEhWFOg5S_VKHC9SMjQ,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.272596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,战狼中队 000001 的 微博 ,战狼中队 000001 的 微博 _微博 | 战狼中队 000001 的 微博 _微博,2026-06-03,战狼中队 000001 的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWck7Iw1OY6E2ry2c9zPaZ9PY_,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.273596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,股民老张的 微博 ,股民老张的 微博 _微博 | 股民老张的 微博 _微博,2026-06-03,股民老张的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aJehDUI-wIzkQmRAXpl-_UGgm5Ez9Q16ZVP09cOfLrbJa,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.273596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,泛舟707的 微博 ,泛舟707的 微博 _微博 | 泛舟707的 微博 _微博,2026-06-03,泛舟707的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWckGUKjJm6FsoHFtIJhdQm67_,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.274597,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,微博 (WB)股票价格,"微博 (WB)股票价格_行情_走势图-手机东方财富 财经门户,提供专业的... | 微博 (WB)股票价格_行情_走势图-手机东方财富 财经门户,提供专业的...",2026-06-03,"微博 (WB)股票价格_行情_走势图-手机东方财富 财经门户,提供专业的...",http://www.baidu.com/link?url=JvkK-W5TfPnElM8QAv1lnLpW4m5bUW6UmTsJmMSiphqUgZ_0yH4lTpHdGOCNlgSw,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.274597,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,微博 自选股的微博,微博 自选股的微博_微博 | 微博 自选股的微博_微博,2026-06-03,微博 自选股的微博_微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aJ_cE2L8CiMeClMtwu69hltDiMjKSF2MGGBk0w_S1jSVK,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.275596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,文映红晖的 微博 ,文映红晖的 微博 _微博 | 文映红晖的 微博 _微博,2026-06-03,文映红晖的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWckg9sDDUmwYUjXF3qVKvuCJa,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.276596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,天蓝蓝 000001 的 微博 ,天蓝蓝 000001 的 微博 _微博 | 天蓝蓝 000001 的 微博 _微博,2026-06-03,天蓝蓝 000001 的 微博 _微博,http://www.baidu.com/link?url=lQqo3g3SdkXgQey_KIwvpwEtao2DN_2Wr36HyqHxd7JrAx-LogM72YYakX-AhyB7,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.276596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,郭一鸣-的 微博 ,郭一鸣-的 微博 _微博 | 郭一鸣-的 微博 _微博,2026-06-03,郭一鸣-的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWcka3cslUngKic1K5WO3tGxra,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.277595,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,舵手周期论的 微博 ,舵手周期论的 微博 _微博 | 舵手周期论的 微博 _微博,2026-06-03,舵手周期论的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWckp22M57FJxyqUFr2rKo52sq,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.278596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,阿丁1970的 微博 ,阿丁1970的 微博 _微博 | 阿丁1970的 微博 _微博,2026-06-03,阿丁1970的 微博 _微博,http://www.baidu.com/link?url=X0B5tpvAT2Za7-C5gTE2ro_ZBiQ_L_Kcv_1FOEequnUIT-MLHPBW6dyi_cgxrQhb,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.278596,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,及时雨超人的 微博 ,及时雨超人的 微博 _微博 | 及时雨超人的 微博 _微博,2026-06-03,及时雨超人的 微博 _微博,http://www.baidu.com/link?url=91wpqowd68HNhn1TWYTzpryG-IuSK1Y613F6Q5NT5aI7ZK5m3_XcDFq-k-Y_UWckcUbJ_U92wpwLLnbawlq1JK,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:46.279597,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,中国平安 微博舆情热度 3.79%,金十数据微博舆情：中国平安 近12小时讨论热度指数 3.79% | 金十数据微博舆情：中国平安 近12小时讨论热度指数 3.79%,2026-06-03,金十数据微博舆情：中国平安 近12小时讨论热度指数 3.79%,https://datacenter.jin10.com/market,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:54.674417,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,中国平安 的 微博 ,中国平安 的 微博 _微博 | 中国平安 的 微博 _微博,2026-06-03,中国平安 的 微博 _微博,http://www.baidu.com/link?url=jSaql7MjnTWpAkUuOkHKKFNX7-0hFBz1nvir4x2g2v68FbDa4Zjpw4EK6W1abZm5,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.541160,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,中国平安 的 微博 视频 - @中国平安 的视频 - 微博,中国平安 的 微博 视频 - @中国平安 的视频 - 微博 | 中国平安 的 微博 视频 - @中国平安 的视频 - 微博,2026-06-03,中国平安 的 微博 视频 - @中国平安 的视频 - 微博,http://www.baidu.com/link?url=xWFaCiFkYoV1VeJchWnoBJe6qAeBU5IsjRt0kT78vlogkxTADIgbkZQ7QWJGjUVnzEeCiLIu6kRQnSKIpw6wNq,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.542160,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,平安 人寿的 微博 ,平安 人寿的 微博 _微博 | 平安 人寿的 微博 _微博,2026-06-03,平安 人寿的 微博 _微博,http://www.baidu.com/link?url=6MrEYCoxwxeWOUPUYcuHcOKQgYDDjP9VFAVKVZYZnxWehCjbKYQk0n5mgJRaD0Tf,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.543178,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,平安 银行的 微博 ,平安 银行的 微博 _微博 | 平安 银行的 微博 _微博,2026-06-03,平安 银行的 微博 _微博,http://www.baidu.com/link?url=gUENO_UY-V3jMhNQzF4t8Ks7qVxV6VUvFKOaj_8Umb3tlyvLrYpejUiSMk67RcjnTmjZYYsrPr1iAg7uyFXx0RmS-05N4ouiCxGbnLcTE1i,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.544176,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,平安 产险的 微博 ,平安 产险的 微博 _微博 | 平安 产险的 微博 _微博,2026-06-03,平安 产险的 微博 _微博,http://www.baidu.com/link?url=gUENO_UY-V3jMhNQzF4t8Ks7qVxV6VUvFKOaj_8Umb3tlyvLrYpejUiSMk67RcjnTmjZYYsrPr1iAg7uyFXx0V1qgBjdmcpjzw_UxsBz9eC,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.544176,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,平安 银行信用卡官方 微博 的微博,平安 银行信用卡官方 微博 的微博_微博 | 平安 银行信用卡官方 微博 的微博_微博,2026-06-03,平安 银行信用卡官方 微博 的微博_微博,http://www.baidu.com/link?url=gUENO_UY-V3jMhNQzF4t8QmkDIPgMqtznna7hFjF5PH5aTC40kFjkptXyadm_LnAK7Gcm1lwbxM6LyezSY8DSa,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.546178,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,平安 银行信用卡的 微博 ,平安 银行信用卡的 微博 _微博 | 平安 银行信用卡的 微博 _微博,2026-06-03,平安 银行信用卡的 微博 _微博,http://www.baidu.com/link?url=6MrEYCoxwxeWOUPUYcuHcUckDOblMkApnhxBDzsuf9c2T3aNu2KPhIzPlwKH7X4V,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.547176,False,success,,0.0,0.0,keyword
2026-06-03,weibo,601318.SH,平安 官网官方 微博 的微博,平安 官网官方 微博 的微博_微博 | 平安 官网官方 微博 的微博_微博,2026-06-03,平安 官网官方 微博 的微博_微博,http://www.baidu.com/link?url=gUENO_UY-V3jMhNQzF4t8QmkDIPgMqtznna7hFjF5PJcSDkuIbK_4JN7kta9-0f2DtamRb4Gn-7Zp5OwWh2Xqa,https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E5%B9%B3%E5%AE%89,2026-06-04T09:55:56.547176,False,success,,0.0,0.0,keyword
