trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,xueqiu,000001.SZ,"华夏成长混合( 000001 )股票股价,行情,新闻,财报,数据 - 雪球","华夏成长混合( 000001 )股票股价,行情,新闻,财报,数据 - 雪球 | 华夏成长混合( 000001 )股票股价,行情,新闻,财报,数据 - 雪球",2026-06-03,"华夏成长混合( 000001 )股票股价,行情,新闻,财报,数据 - 雪球",http://www.baidu.com/link?url=thQWYsy8sP8KaUrDI84VCdyT85dn19fF0c9TWbNX7HaGJX4krpV10szgYnoPS6em,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.908980,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,$上证指数(SH 000001 )$ - 雪球,$上证指数(SH 000001 )$ - 雪球 | $上证指数(SH 000001 )$ - 雪球,2026-06-03,$上证指数(SH 000001 )$ - 雪球,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4bUSMYV5_ZTe-IK641iYU_pbBf7gfuXRMffYMD6692QuK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.908980,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,代表整个市场指数的区别 一、 000001 与000002的区别000001是 上证指数...,代表整个市场指数的区别 一、 000001 与000002的区别000001是 上证指数... | 代表整个市场指数的区别 一、 000001 与000002的区别000001是 上证指数...,2026-06-03,代表整个市场指数的区别 一、 000001 与000002的区别000001是 上证指数...,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4cdlHiTyr8sxnvn5QGF-eD-qJxN28dR4V1ELRF5kTrNcq,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.909996,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,$上证指数(SH 000001 )$ A股场内【境外挂钩T+0全汇总|无遗漏】(仅境...,$上证指数(SH 000001 )$ A股场内【境外挂钩T+0全汇总|无遗漏】(仅境... | $上证指数(SH 000001 )$ A股场内【境外挂钩T+0全汇总|无遗漏】(仅境...,2026-06-03,$上证指数(SH 000001 )$ A股场内【境外挂钩T+0全汇总|无遗漏】(仅境...,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4aAbXdSiEUgutbOk7qxR3jirodXFmjpyVRSYhulqmZNva,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.910981,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,"$上证指数(SH 000001 )$ 两种看法激烈撞击,一是指数随时会崩,科技已经...","$上证指数(SH 000001 )$ 两种看法激烈撞击,一是指数随时会崩,科技已经... | $上证指数(SH 000001 )$ 两种看法激烈撞击,一是指数随时会崩,科技已经...",2026-06-03,"$上证指数(SH 000001 )$ 两种看法激烈撞击,一是指数随时会崩,科技已经...",http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4b3QTMbR9624dBPN3TS94eSOEljaB4KBMl8r-ADfDbxNK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.910981,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,平安银行 ( 000001 )估值分析1.公司概况 平安银行 是中国领先的商业银...,平安银行 ( 000001 )估值分析1.公司概况 平安银行 是中国领先的商业银... | 平安银行 ( 000001 )估值分析1.公司概况 平安银行 是中国领先的商业银...,2026-06-03,平安银行 ( 000001 )估值分析1.公司概况 平安银行 是中国领先的商业银...,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4apydP459Q5wCdSPcjp20GmdvpfJAioo0FChBOhFQ7iqK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.911980,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,$上证指数(SH 000001 )$ 赤石A股 - 雪球,$上证指数(SH 000001 )$ 赤石A股 - 雪球 | $上证指数(SH 000001 )$ 赤石A股 - 雪球,2026-06-03,$上证指数(SH 000001 )$ 赤石A股 - 雪球,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4cLTSu-Qd0ErJKlYmgV6KQcoLatCPAgWREDJKMYRSZkZK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.911980,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,...上证指数 (代码【 000001 】)。一、编制轶事 上证指数 全称 上证综 ...,...上证指数 (代码【 000001 】)。一、编制轶事 上证指数 全称 上证综 ... | ...上证指数 (代码【 000001 】)。一、编制轶事 上证指数 全称 上证综 ...,2026-06-03,...上证指数 (代码【 000001 】)。一、编制轶事 上证指数 全称 上证综 ...,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4d98o__P88IZfiugZuoGgohHjAe2TaRtaD9CVMlqMGkuK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.912980,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,$上证指数(SH 000001 )$ 指数行情 - 雪球,$上证指数(SH 000001 )$ 指数行情 - 雪球 | $上证指数(SH 000001 )$ 指数行情 - 雪球,2026-06-03,$上证指数(SH 000001 )$ 指数行情 - 雪球,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4cY45EdfkDbytyCTT8QjAMfM3ZKD90FL42CG2PEqKhMPK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.912980,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,000001 平安银行的入门基础知识 平安银行 股份有限公司代码:000001...,000001 平安银行的入门基础知识 平安银行 股份有限公司代码:000001... | 000001 平安银行的入门基础知识 平安银行 股份有限公司代码:000001...,2026-06-03,000001 平安银行的入门基础知识 平安银行 股份有限公司代码:000001...,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4avTodE5MUCnTXu1g2wnEGoFJhdJXwBR1SWIlroE0nErq,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.913998,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,$上证指数(SH 000001 )$ 回落态势。 - 雪球,$上证指数(SH 000001 )$ 回落态势。 - 雪球 | $上证指数(SH 000001 )$ 回落态势。 - 雪球,2026-06-03,$上证指数(SH 000001 )$ 回落态势。 - 雪球,http://www.baidu.com/link?url=kNsc17jsveHcqUywQLx6x07-LKtFthz0dPp3mjEQV4aRmRQ-oU-ddPBqWmXPzpKczQU8XD5I3sjsmDma7Fl-TK,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.914981,False,success,,0.0,0.0,keyword
